timestamp,dist_real_cm,dist_sensor_cm
1771606690.94970,2.5,2.42
1771606690.97476,2.5,2.45
1771606690.99983,2.5,2.42
1771606691.02487,2.5,2.42
1771606691.04993,2.5,2.4
1771606691.07500,2.5,2.4
1771606691.10005,2.5,2.39
1771606691.12513,2.5,2.39
1771606691.15018,2.5,2.4
1771606691.17526,2.5,2.47
1771606738.51233,2.5,2.39
1771606738.53738,2.5,2.42
1771606738.56241,2.5,2.42
1771606738.58747,2.5,2.39
1771606738.61255,2.5,2.48
1771606738.63761,2.5,2.46
1771606738.66267,2.5,2.42
1771606738.68774,2.5,2.48
1771606738.71280,2.5,2.41
1771606738.73787,2.5,2.4
1771606738.76295,2.5,2.49
1771606738.78803,2.5,2.39
1771606738.81310,2.5,2.41
1771606738.83816,2.5,2.38
1771606738.86325,2.5,2.48
1771606738.88831,2.5,2.4
1771606738.91338,2.5,2.41
1771606738.93845,2.5,2.38
1771606738.96352,2.5,2.41
1771606738.98859,2.5,2.41
1771606739.01365,2.5,2.41
1771606739.03873,2.5,2.43
1771606739.06379,2.5,2.39
1771606739.08886,2.5,2.47
1771606739.11392,2.5,2.39
1771606739.13899,2.5,2.41
1771606739.16406,2.5,2.4
1771606739.18919,2.5,2.42
1771606739.21418,2.5,2.39
1771606739.23924,2.5,2.46
1771606739.26432,2.5,2.39
1771606739.28937,2.5,2.39
1771606739.31445,2.5,2.37
1771606739.33950,2.5,2.4
1771606739.36459,2.5,2.39
1771606739.38964,2.5,2.4
1771606739.41469,2.5,2.49
1771606739.43974,2.5,2.38
1771606739.46480,2.5,2.41
1771606739.48986,2.5,2.39
1771606739.51492,2.5,2.47
1771606739.53998,2.5,2.45
1771606739.56505,2.5,2.47
1771606739.59011,2.5,2.39
1771606739.61516,2.5,2.39
1771606739.64022,2.5,2.48
1771606739.66529,2.5,2.4
1771606739.69034,2.5,2.38
1771606739.71540,2.5,2.39
1771606739.74045,2.5,2.41
1771606739.76551,2.5,2.39
1771606739.79057,2.5,2.4
1771606739.81565,2.5,2.39
1771606739.84071,2.5,2.38
1771606739.86577,2.5,2.39
1771606739.89082,2.5,2.45
1771606739.91588,2.5,2.49
1771606739.94094,2.5,2.49
1771606739.96599,2.5,2.38
1771606739.99105,2.5,2.39
1771606740.01611,2.5,2.45
1771606740.04117,2.5,2.48
1771606740.06626,2.5,2.48
1771606740.09130,2.5,2.42
1771606740.11636,2.5,2.41
1771606740.14142,2.5,2.46
1771606740.16647,2.5,2.38
1771606740.19156,2.5,2.47
1771606740.21661,2.5,2.47
1771606740.24166,2.5,2.39
1771606740.26673,2.5,2.47
1771606740.29178,2.5,2.41
1771606740.31685,2.5,2.38
1771606740.34190,2.5,2.48
1771606740.36696,2.5,2.42
1771606740.39202,2.5,2.49
1771606740.41709,2.5,2.38
1771606740.44215,2.5,2.41
1771606740.46721,2.5,2.45
1771606740.49226,2.5,2.38
1771606740.51732,2.5,2.39
1771606740.54238,2.5,2.39
1771606740.56745,2.5,2.4
1771606740.59252,2.5,2.4
1771606740.61761,2.5,2.42
1771606740.64265,2.5,2.39
1771606740.66770,2.5,2.49
1771606740.69276,2.5,2.38
1771606740.71783,2.5,2.4
1771606740.74289,2.5,2.4
1771606740.76795,2.5,2.24
1771606740.79300,2.5,2.39
1771606740.81808,2.5,2.39
1771606740.84316,2.5,2.48
1771606740.86822,2.5,2.4
1771606740.89327,2.5,2.4
1771606740.91833,2.5,2.4
1771606740.94339,2.5,2.47
1771606740.96846,2.5,2.4
1771606740.99352,2.5,2.4
1771606741.01857,2.5,2.49
1771606741.04362,2.5,2.38
1771606741.06870,2.5,2.47
1771606741.09376,2.5,2.4
1771606741.11882,2.5,2.4
1771606741.14387,2.5,2.46
1771606741.16894,2.5,2.49
1771606741.19400,2.5,2.38
1771606741.21905,2.5,2.41
1771606741.24411,2.5,2.39
1771606741.26917,2.5,2.49
1771606741.29424,2.5,2.47
1771606741.31930,2.5,2.38
1771606741.34436,2.5,2.42
1771606741.36945,2.5,2.39
1771606741.39522,2.5,2.45
1771606741.41979,2.5,2.4
1771606741.44477,2.5,2.41
1771606741.46982,2.5,2.41
1771606741.49488,2.5,2.38
1771606741.51997,2.5,2.33
1771606741.54504,2.5,2.47
1771606741.57011,2.5,2.42
1771606741.59517,2.5,2.49
